,Unnamed: 0,id,text,Tweet,p_pos,p_neg,Score
0,0,1521273210985058305,"Global Superstar 👑
#ShahRukhKhan #BenedictCumberbatch #StephenStrange #MCU https://t.co/birHBsMqGf",Global Superstar ShahRukhKhan BenedictCumberbatch StephenStrange MCU,0.8300970873786404,0.1699029126213593,Positive
1,1,1521255796050251776,"Eidi gift Article  . This eidi  is Adorable for me ❤

Shah Rukh Khan  ❤ That's why Greatest Actor of All time ❤

#ShahRukhKhan https://t.co/bhlsnprnnJ",Eidi gift Article . This eidi is Adorable for me Shah Rukh Khan That's why Greatest Actor of All time ShahRukhKhan,0.9662001144523265,0.033799885547670966,Positive
2,2,1521255404705136647,Eid Mubarak King Khan to you and your family @iamsrk May Allah always protect you &amp; keep you safe happy healthy &amp; successful ❤️ #EidUlFitr  #ShahRukhKhan https://t.co/F6abQoIXA5,Eid Mubarak King Khan to you and your family May Allah always protect you &amp; keep you safe happy healthy &amp; successful EidUlFitr ShahRukhKhan,0.9890973985874552,0.010902601412545402,Positive
3,3,1521250654592901122,"@BajpayeeManoj Lots of love!
My best wishes for you 🌙
#SRK 
#ShahRukhKhan 
#manojbajpayee 
#EidMubarak2022 https://t.co/mqVb6f49SW",Lots of love!My best wishes for you SRK ShahRukhKhan manojbajpayee EidMubarak2022,0.6443541623080583,0.35564583769194225,Neutral
4,4,1521233064839495680,"Take a peek at #SuhanaKhan's amazing life in #NewYork with her BFFs

#ShahRukhKhan #GauriKhan
#Bollywood

https://t.co/xVQxNVBFaG",Take a peek at SuhanaKhan's amazing life in NewYork with her BFFsShahRukhKhan GauriKhanBollywood,0.6753606533454557,0.32463934665454386,Neutral
5,5,1521228729585917952,@BenedictCumberbatch Really like your work. Selecting #ShahRukhKhan from #Bollywood means you will promote Redical Islam negating vast #Hindus  audience,Really like your work. Selecting ShahRukhKhan from Bollywood means you will promote Redical Islam negating vast Hindus audience,0.9819639906164128,0.01803600938358501,Positive
6,6,1521228454955569155,"Eid Mubarak to all who celebrate , especially SRkians , @iamsrk and family https://t.co/9Pzb3J25In","Eid Mubarak to all who celebrate , especially SRkians , and family",0.8721424447386935,0.1278575552613063,Positive
7,7,1521228240093913090,@BenedictCumberbatch  Really like your work. Selecting #ShahRukhKhan  from #Bollywood means you will promote Redical Islam negating vast Hindu audience,Really like your work. Selecting ShahRukhKhan from Bollywood means you will promote Redical Islam negating vast Hindu audience,0.9819639906164128,0.01803600938358501,Positive
8,8,1521226135392047104,"Did You Know ?

The first indian flag was hoisted by General Shah Nawaz Khan 🇮🇳 .. The Grand Father of our King #ShahRukhKhan! 👑❤️ https://t.co/xUyqXOkJx8",Did You Know ?The first indian flag was hoisted by General Shah Nawaz Khan .. The Grand Father of our King ShahRukhKhan!,0.9556621097392097,0.04433789026078944,Positive
9,9,1521223771318722560,"@iamsrk why I keep meeting you in my dreams by never in real … 
.
.
.#SRKians #SRK @SRKFC1 @SRKUniverse",why I keep meeting you in my dreams by never in real ...SRKians SRK,0.6042083418807744,0.39579165811922634,Neutral
